(12, Продавец: Юлиан Кабанов, 2337.0)
(13, Продавец: Устин Архипов, 6002.75)
(Продажа(Id: 1) от: 2022-04-06, на сумму: 6130, Продавец: Силантий Кудрявцев, Клиент: Лукия Гуляева)
(Продажа(Id: 2) от: 2021-10-17, на сумму: 11962, Продавец: Твердислав Крюков, Клиент: Алина Дорофеева)
(Продажа(Id: 3) от: 2021-08-17, на сумму: 5446, Продавец: Андрей Одинцов, Клиент: Ратмир Кабанов)
(Продажа(Id: 4) от: 2021-11-25, на сумму: 10768, Продавец: Анжелика Филиппова, Клиент: Лора Гришина)
(Продажа(Id: 5) от: 2023-04-06, на сумму: 10967, Продавец: Семен Нестеров, Клиент: Викентий Уваров)
(Продажа(Id: 6) от: 2023-04-07, на сумму: 1887, Продавец: Вышеслав Симонов, Клиент: Марфа Медведева)
(Продажа(Id: 7) от: 2021-09-04, на сумму: 6804, Продавец: Устин Архипов, Клиент: Наркис Рогов)
(Продажа(Id: 8) от: 2022-05-20, на сумму: 9617, Продавец: Пантелеймон Волков, Клиент: Гостомысл Александров)
(Продажа(Id: 9) от: 2022-07-02, на сумму: 8505, Продавец: Станислав Егоров, Клиент: Евгений Хохлов)
(Продажа(Id: 11) от: 2022-02-06, на сумму: 10088, Продавец: Владилен Хохлов, Клиент: Наркис Рогов)
(Продажа(Id: 12) от: 2022-06-18, на сумму: 3644, Продавец: Евдокия Силина, Клиент: Изяслав Фадеев)
(Продажа(Id: 13) от: 2021-09-06, на сумму: 12001, Продавец: Велимир Антонов, Клиент: Демид Попов)
(Продажа(Id: 14) от: 2022-07-04, на сумму: 11590, Продавец: Сократ Мартынов, Клиент: Клавдия Маслова)
(Продажа(Id: 15) от: 2022-08-09, на сумму: 7020, Продавец: Устин Архипов, Клиент: Осип Мясников)
(Продажа(Id: 16) от: 2022-11-28, на сумму: 1189, Продавец: Ярослав Смирнов, Клиент: Марк Яковлев)
(Продажа(Id: 17) от: 2021-10-08, на сумму: 3743, Продавец: Спиридон Осипов, Клиент: Оксана Гришина)
(Продажа(Id: 18) от: 2022-04-25, на сумму: 9452, Продавец: Савелий Виноградов, Клиент: Викентий Уваров)
(Продажа(Id: 19) от: 2022-10-25, на сумму: 8493, Продавец: Лора Воронова, Клиент: Викторин Кириллов)
(Продажа(Id: 20) от: 2022-11-26, на сумму: 11639, Продавец: Лора Воронова, Клиент: Исидор Наумов)
(Продажа(Id: 21) от: 2022-08-07, на сумму: 11629, Продавец: Корнил Герасимов, Клиент: Ксения Борисова)
(Продажа(Id: 22) от: 2022-08-10, на сумму: 10904, Продавец: Тихон Третьяков, Клиент: Мирослав Афанасьев)
(Продажа(Id: 23) от: 2022-09-13, на сумму: 10490, Продавец: Мариан Котов, Клиент: Болеслав Смирнов)
(Продажа(Id: 24) от: 2022-04-09, на сумму: 12060, Продавец: Таисия Фомичева, Клиент: Аркадий Колобов)
(Продажа(Id: 25) от: 2023-04-15, на сумму: 5772, Продавец: Марфа Тарасова, Клиент: Екатерина Попова)
(Продажа(Id: 26) от: 2021-11-11, на сумму: 4708, Продавец: Лазарь Меркушев, Клиент: Клавдия Маслова)
(Продажа(Id: 27) от: 2022-05-09, на сумму: 10051, Продавец: Пелагея Сафонова, Клиент: Лора Гришина)
(Продажа(Id: 28) от: 2021-09-08, на сумму: 1886, Продавец: Арсений Пономарев, Клиент: Лукия Гуляева)
(Продажа(Id: 29) от: 2021-09-08, на сумму: 4187, Продавец: Станислав Егоров, Клиент: Милий Кудряшов)
(Продажа(Id: 30) от: 2022-03-09, на сумму: 750, Продавец: Леонид Комаров, Клиент: Милий Кудряшов)
(Продажа(Id: 31) от: 2022-04-01, на сумму: 3132, Продавец: Виктор Петров, Клиент: Авксентий Кудрявцев)
(Продажа(Id: 32) от: 2022-05-03, на сумму: 8773, Продавец: Лора Воронова, Клиент: Касьян Миронов)
(Продажа(Id: 33) от: 2022-08-13, на сумму: 1050, Продавец: Тимур Ершов, Клиент: Клавдия Маслова)
(Продажа(Id: 34) от: 2022-12-28, на сумму: 8986, Продавец: Семен Нестеров, Клиент: Арефий Устинов)
(Продажа(Id: 35) от: 2023-02-19, на сумму: 7485, Продавец: Виктор Петров, Клиент: Мирон Лихачев)
(Продажа(Id: 36) от: 2022-02-28, на сумму: 9272, Продавец: Виктор Петров, Клиент: Марк Яковлев)
(Продажа(Id: 37) от: 2022-07-28, на сумму: 6866, Продавец: Пелагея Сафонова, Клиент: Элеонора Лапина)
(Продажа(Id: 38) от: 2023-03-30, на сумму: 835, Продавец: Пелагея Сафонова, Клиент: Амос Власов)
(Продажа(Id: 39) от: 2023-02-14, на сумму: 3481, Продавец: Мариан Котов, Клиент: Владилен Архипов)
(Продажа(Id: 40) от: 2022-10-04, на сумму: 4669, Продавец: Изяслав Брагин, Клиент: Куприян Андреев)
